quote,tags
"Don't cry because it's over, smile because it happened.","life,inspiration,positivity"
Be yourself; everyone else is already taken.,"authenticity,humor,inspiration"
Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,"humor,intelligence,philosophy"
In three words I can sum up everything I've learned about life: it goes on.,"life,perseverance,resilience"
A room without books is like a body without a soul.,"reading,intellect,wisdom"
No one can make you feel inferior without your consent.,"confidence,self-worth,empowerment"
"If you tell the truth, you don't have to remember anything.","honesty,truth,character"
Always forgive your enemies; nothing annoys them so much.,"forgiveness,humor,strength"
Live as if you were to die tomorrow. Learn as if you were to live forever.,"education,lifelong-learning,life"
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,"authenticity,courage,independence"
Happiness is not something ready made. It comes from your own actions.,"happiness,action,motivation"
The only way to do great work is to love what you do.,"passion,work,motivation"
The best way out is always through.,"perseverance,strength,motivation"
"Success is not final, failure is not fatal: It is the courage to continue that counts.","success,failure,courage"
You miss 100% of the shots you don't take.,"motivation,success,risk"
The journey of a thousand miles begins with one step.,"journey,motivation,start"
"Do what you can, with what you have, where you are.","action,motivation,realism"
The mind is everything. What you think you become.,"mindset,philosophy,life"
That which does not kill us makes us stronger.,"strength,resilience,motivation"
An eye for an eye only ends up making the whole world blind.,"forgiveness,peace,philosophy"
Imagination is more important than knowledge.,"imagination,knowledge,creativity"
Life is what happens when you're busy making other plans.,"life,planning,philosophy"
"You only live once, but if you do it right, once is enough.","life,motivation,inspiration"
"Do not go where the path may lead, go instead where there is no path and leave a trail.","courage,leadership,inspiration"
Believe you can and you're halfway there.,"belief,motivation,confidence"
Everything you can imagine is real.,"imagination,creativity,possibility"
"What we think, we become.","mindset,philosophy,life"
The power of imagination makes us infinite.,"imagination,power,infinity"
Challenges are what make life interesting and overcoming them is what makes life meaningful.,"challenge,growth,motivation"
"Strive not to be a success, but rather to be of value.","success,value,life"
